model,year,price,transmission,mileage,tax,mpg,engineSize,fuelType
 A1,2013,7000,Manual,76269,0,74.3,1.6,Diesel
 A3,2016,10600,Manual,37840,20,70.6,1.6,Diesel
 A3,2017,16000,Manual,26249,30,67.3,1.6,Diesel
 Q3,2017,15000,Manual,44898,125,57.7,2,Diesel
 Q3,2017,14000,Manual,67161,150,51.4,1.4,Petrol
 A3,2018,18950,Manual,17992,150,54.3,1.5,Petrol
 A4,2016,10200,Manual,97440,20,70.6,2,Diesel
 A1,2017,11700,Manual,19268,150,67.3,1,Petrol
 A3,2013,11500,Automatic,51441,125,50.4,1.8,Petrol
 A1,2016,10800,Manual,18181,0,67.3,1,Petrol
 A3,2016,12500,Manual,19494,30,67.3,2,Diesel
 A6,2016,16600,Manual,32808,30,61.4,2,Diesel
 A3,2017,13100,Manual,25965,145,65.7,2,Diesel
 A3,2016,8300,Manual,88215,20,68.9,2,Diesel
 A3,2019,16000,Manual,5704,145,49.6,1,Petrol
 A4,2017,16900,Manual,10959,145,51.4,1.4,Petrol
 Q5,2016,19600,Automatic,30201,200,47.1,2,Diesel
 Q3,2017,21800,Automatic,19319,145,40.4,2,Petrol
 A6,2017,16200,Manual,22582,145,61.4,2,Diesel
 A5,2017,18700,Manual,20052,145,49.6,2,Petrol
 Q3,2016,16100,Manual,16666,30,60.1,2,Diesel
 A3,2016,11300,Manual,25626,0,74.3,1.6,Diesel
 A3,2016,14100,Manual,10460,20,60.1,1.4,Petrol
 A6,2016,16600,Automatic,43307,125,57.6,2,Diesel
 A1,2017,11300,Manual,29327,30,55.4,1.4,Petrol
 Q3,2017,15600,Manual,36714,125,51.4,1.4,Petrol
 A1,2014,10000,Manual,28324,125,53.3,1.4,Petrol
 A1,2016,14500,Manual,12100,30,56.5,1.4,Petrol
 Q3,2017,16100,Manual,18001,145,62.8,2,Diesel
 A1,2016,10600,Manual,28760,30,55.4,1.4,Petrol
 A3,2019,25499,Semi-Auto,4000,145,44.1,1.5,Petrol
 Q2,2019,25499,Semi-Auto,7897,145,47.9,2,Diesel
 A6,2016,15500,Automatic,24744,125,56.5,3,Diesel
 Q3,2015,16200,Automatic,30075,160,51.4,2,Diesel
 A1,2017,14000,Manual,12577,30,58.9,1.4,Petrol
 A6,2016,17300,Automatic,24421,30,61.4,2,Diesel
 A1,2016,10600,Manual,15567,0,76.3,1.6,Diesel
 A4,2018,17500,Manual,15207,145,51.4,1.4,Petrol
 A4,2017,15000,Manual,14864,145,52.3,1.4,Petrol
 A4,2019,25499,Semi-Auto,9000,145,38.7,2,Petrol
 A4,2019,25000,Manual,5000,145,38.7,2,Petrol
 Q2,2019,31000,Semi-Auto,4264,145,33.2,2,Petrol
 Q3,2019,28000,Manual,4000,145,42.8,2,Diesel
 Q3,2019,28000,Manual,4000,145,42.2,1.5,Petrol
 Q2,2019,21499,Manual,2721,145,49.6,1.6,Diesel
 Q2,2019,26000,Semi-Auto,4000,145,42.2,1.5,Petrol
 Q5,2016,30000,Semi-Auto,49649,235,42.2,3,Diesel
 A4,2017,17000,Manual,14068,145,51.4,1.4,Petrol
 A4,2017,14500,Manual,23092,145,52.3,1.4,Petrol
 Q3,2017,17500,Automatic,30682,160,50.4,2,Diesel
 A1,2016,10500,Manual,18272,0,67.3,1,Petrol
 Q2,2017,14800,Automatic,23714,145,68.9,1.6,Diesel
 A6,2016,12000,Automatic,71311,30,61.4,2,Diesel
 A6,2018,22000,Automatic,29477,145,61.4,2,Diesel
 Q5,2016,17800,Automatic,60551,200,47.1,2,Diesel
 A6,2017,19800,Automatic,42071,30,61.4,2,Diesel
 A7,2014,19500,Automatic,55774,235,44.8,3,Diesel
 A1,2016,9800,Manual,36462,0,76.3,1.6,Diesel
 A3,2016,15500,Manual,25376,30,57.6,1.4,Petrol
 A4,2017,16800,Automatic,39388,145,67.3,2,Diesel
 A3,2017,11500,Manual,64207,20,67.3,2,Diesel
 A1,2017,12100,Manual,49221,145,55.4,1.4,Petrol
 A1,2017,12700,Manual,27179,0,76.3,1.6,Diesel
 A4,2014,11700,Manual,31376,125,58.9,2,Diesel
 A5,2015,11500,Automatic,62668,145,53.3,2,Diesel
 A4,2017,17400,Manual,10001,145,51.4,1.4,Petrol
 A6,2016,16000,Automatic,52544,30,61.4,2,Diesel
 A4,2016,13100,Manual,63097,125,49.6,2,Petrol
 A6,2016,14700,Manual,72967,30,61.4,2,Diesel
 A5,2017,21100,Automatic,32771,145,70.6,2,Diesel
 Q3,2018,24400,Automatic,13303,145,40.4,2,Petrol
 A3,2019,18750,Manual,2752,145,44.8,1.5,Petrol
 Q3,2016,16500,Manual,23307,160,49.6,2,Diesel
 A1,2017,11000,Manual,34551,150,67.3,1,Petrol
 A3,2017,13400,Manual,25457,150,68.9,1.6,Diesel
 Q2,2018,20000,Manual,12167,150,50.4,1.4,Petrol
 A6,2015,15400,Automatic,23237,20,67.3,2,Diesel
 Q3,2016,15500,Automatic,11863,160,50.4,2,Diesel
 A4,2017,14800,Manual,21225,145,72.4,2,Diesel
 A6,2015,17100,Automatic,32083,30,61.4,2,Diesel
 Q5,2017,25750,Automatic,17039,145,55.4,2,Diesel
 A4,2016,11750,Manual,72026,0,74.3,2,Diesel
 A1,2017,11200,Manual,34824,0,67.3,1,Petrol
 A1,2017,12800,Manual,20351,30,55.4,1.4,Petrol
 A4,2017,16000,Automatic,58028,145,52.3,2,Petrol
 A5,2017,20000,Automatic,44783,145,62.8,2,Diesel
 A4,2014,11950,Manual,60604,20,67.3,2,Diesel
 A4,2013,9400,Manual,39998,30,65.7,2,Diesel
 A4,2017,20000,Automatic,20852,30,65.7,2,Diesel
 A6,2016,13300,Manual,79728,30,64.2,2,Diesel
 A6,2017,18500,Automatic,29095,20,64.2,2,Diesel
 A3,2013,8300,Manual,98940,0,74.3,1.6,Diesel
 A1,2016,13500,Manual,22780,30,58.9,1.4,Petrol
 A5,2018,19800,Manual,20832,150,47.1,2,Petrol
 Q3,2016,15400,Automatic,29196,145,55.4,2,Diesel
 A4,2017,13900,Manual,14392,145,53.3,1.4,Petrol
 A4,2018,15600,Manual,20070,145,52.3,1.4,Petrol
 A6,2016,16200,Automatic,89334,30,62.8,3,Diesel
 A1,2016,10600,Manual,21428,0,67.3,1,Petrol
 A4,2016,14300,Manual,45485,20,70.6,2,Diesel
 Q3,2016,14700,Manual,32704,30,60.1,2,Diesel
 Q3,2018,19100,Automatic,42209,145,42.2,2,Petrol
 A4,2017,18100,Manual,17278,145,48.7,1.4,Petrol
 A1,2017,11400,Manual,29515,0,67.3,1,Petrol
 A3,2014,11600,Manual,43662,20,67.3,2,Diesel
 A4,2017,17300,Automatic,45225,145,62.8,2,Diesel
 A6,2017,16400,Manual,45491,30,61.4,2,Diesel
 Q5,2014,17100,Manual,52267,235,37.7,2,Petrol
 A3,2014,11498,Semi-Auto,40807,125,50.4,1.8,Petrol
 Q3,2014,11698,Manual,65959,160,49.6,2,Diesel
 Q5,2014,18998,Semi-Auto,47648,260,35.8,2,Petrol
 Q5,2017,25498,Semi-Auto,27948,145,40.9,2,Petrol
 A4,2013,10498,Manual,31169,145,49.6,1.8,Petrol
 A4,2013,9498,Automatic,42011,145,47.1,2,Petrol
 A6,2015,19998,Semi-Auto,56115,160,50.4,3,Diesel
 A6,2015,16798,Semi-Auto,65835,125,61.4,2,Diesel
 A6,2017,23998,Semi-Auto,63383,145,45.6,3,Diesel
 Q5,2017,36998,Semi-Auto,34011,145,34,3,Petrol
 A5,2014,13998,Semi-Auto,52132,160,49.6,3,Diesel
 A4,2015,15995,Manual,38787,145,55.4,2,Diesel
 A1,2017,13495,Manual,34554,150,55.4,1.4,Petrol
 Q5,2017,30985,Semi-Auto,17502,145,40.4,2,Petrol
 TT,2019,29485,Automatic,3000,145,40.9,2,Petrol
 A6,2015,16985,Manual,34646,30,61.4,2,Diesel
 Q5,2017,26485,Semi-Auto,18000,150,56.5,2,Diesel
 Q3,2018,23985,Semi-Auto,17085,150,47.9,1.4,Petrol
 A1,2017,12485,Manual,48166,20,72.4,1.6,Diesel
 Q5,2015,22485,Semi-Auto,38421,205,47.1,2,Diesel
 A5,2015,16498,Manual,46637,30,61.4,2,Diesel
 A3,2016,11998,Manual,24468,0,74.3,1.6,Diesel
 Q5,2017,24985,Automatic,29343,200,47.1,2,Diesel
 A3,2019,17985,Manual,8449,145,51.4,1.6,Diesel
 A5,2017,20485,Manual,34679,30,65.7,2,Diesel
 A3,2018,16985,Semi-Auto,23860,145,60.1,1,Petrol
 A4,2018,30985,Automatic,21009,145,35.8,3,Petrol
 A6,2019,29985,Automatic,1881,145,47.9,2,Diesel
 A6,2019,27985,Semi-Auto,688,145,47.9,2,Diesel
 A6,2019,30985,Automatic,1863,145,47.9,2,Diesel
 Q7,2020,62985,Semi-Auto,10,145,33.2,3,Diesel
 RS6,2016,44985,Semi-Auto,49050,325,29.4,4,Petrol
 A4,2019,28985,Semi-Auto,1024,145,38.7,2,Petrol
 A4,2019,24985,Semi-Auto,448,145,39.8,2,Petrol
 A4,2019,26985,Semi-Auto,476,145,39.2,2,Petrol
 A7,2019,39985,Automatic,5201,145,38.7,3,Diesel
 A3,2019,21985,Semi-Auto,2028,145,42.2,1.5,Petrol
 A6,2019,45485,Automatic,3241,145,39.2,3,Diesel
 Q5,2019,33985,Automatic,355,145,39.2,2,Diesel
 A5,2019,28985,Automatic,18,145,39.8,2,Petrol
 A3,2019,29985,Automatic,3122,145,41.5,1.5,Petrol
 Q2,2019,28985,Manual,824,145,40.9,1.5,Petrol
 A6,2019,31985,Semi-Auto,2811,145,47.9,2,Diesel
 A6,2019,31985,Semi-Auto,27,145,50.4,2,Diesel
 A4,2019,29485,Semi-Auto,4254,145,38.2,2,Petrol
 A1,2019,17985,Semi-Auto,2252,145,48.7,1,Petrol
 Q2,2019,20985,Automatic,3422,145,47.9,1.6,Diesel
 Q2,2019,23685,Automatic,37,145,47.9,1.6,Diesel
 A4,2019,27985,Semi-Auto,7299,145,38.2,2,Petrol
 Q2,2019,27985,Semi-Auto,1414,145,40.9,1.5,Petrol
 Q5,2019,36985,Automatic,5135,145,38.2,2,Diesel
 Q5,2019,37985,Automatic,6024,145,38.2,2,Diesel
 Q5,2020,37985,Semi-Auto,10,145,32.1,2,Petrol
 Q7,2019,49985,Automatic,10,145,33.2,3,Diesel
 Q7,2019,59995,Automatic,10,145,33.2,3,Diesel
 Q5,2020,47895,Semi-Auto,10,145,30.7,2,Petrol
 A4,2020,31985,Semi-Auto,10,145,42.2,2,Petrol
 Q7,2015,29985,Automatic,47606,200,47.9,3,Diesel
 A1,2015,12485,Semi-Auto,26625,30,57.6,1.4,Petrol
 A5,2018,24985,Automatic,5071,145,50.4,2,Petrol
 A5,2015,21985,Semi-Auto,28011,260,34.9,3,Petrol
 Q3,2019,34985,Automatic,10,145,47.1,2,Diesel
 A5,2019,29985,Automatic,10,145,51.4,2,Diesel
 Q3,2019,34485,Automatic,10,145,47.1,2,Diesel
 A1,2019,19685,Manual,10,145,49.6,1,Petrol
 A4,2019,34985,Automatic,10,145,53.3,2,Diesel
 A7,2019,43885,Semi-Auto,10,145,38.2,3,Diesel
 A6,2019,35895,Automatic,2000,145,47.9,2,Diesel
 Q2,2019,26985,Automatic,10,145,43.5,1.5,Petrol
 A6,2019,46985,Automatic,3510,145,36.2,3,Diesel
 A3,2019,23985,Automatic,10,145,44.8,1.5,Petrol
 A5,2019,28985,Automatic,10,145,39.8,2,Petrol
 A5,2019,27985,Automatic,1010,145,39.8,2,Petrol
 A6,2019,28985,Semi-Auto,500,145,47.9,2,Diesel
 A4,2019,29985,Automatic,10,145,42.8,2,Petrol
 A3,2019,21995,Manual,10,145,54.3,1.6,Diesel
 A5,2019,31985,Automatic,10,145,39.8,2,Petrol
 A5,2019,32485,Automatic,10,145,51.4,2,Diesel
 A3,2019,21285,Manual,10,145,51.4,1.6,Diesel
 Q7,2019,56985,Automatic,1510,145,33.2,3,Diesel
 RS3,2019,43785,Semi-Auto,10,145,30.1,2.5,Petrol
 A4,2016,18498,Semi-Auto,29845,160,45.6,2,Petrol
 A3,2014,14995,Semi-Auto,27355,160,42.8,1.8,Petrol
 A4,2016,17998,Manual,20885,30,64.2,2,Diesel
 A3,2014,10985,Automatic,10534,30,56.5,1.2,Petrol
 A3,2016,12995,Manual,25895,20,70.6,2,Diesel
 A1,2016,11495,Manual,32867,0,67.3,1,Petrol
 Q5,2015,18295,Semi-Auto,42793,205,47.1,2,Diesel
 A6,2015,18998,Semi-Auto,49039,160,50.4,3,Diesel
 Q2,2017,18485,Manual,22501,145,64.2,1.6,Diesel
 A8,2017,38985,Automatic,1420,145,50.4,3,Diesel
 A5,2019,29485,Automatic,10,145,40.4,2,Petrol
 A5,2017,22998,Semi-Auto,26939,145,62.8,2,Diesel
 A8,2014,18998,Semi-Auto,24786,205,47.9,3,Diesel
 A4,2017,17698,Manual,18761,145,51.4,1.4,Petrol
 A5,2019,27995,Automatic,10,145,40.4,2,Petrol
 Q3,2019,31985,Manual,10,145,42.8,2,Diesel
 A4,2019,30995,Automatic,10,145,38.7,2,Petrol
 A3,2017,18998,Semi-Auto,22295,30,56.5,1.4,Petrol
 Q2,2017,16995,Manual,18068,145,52.3,1.4,Petrol
 A3,2018,19995,Manual,25000,150,42.2,1.5,Petrol
 Q2,2017,14495,Manual,23043,150,55.4,1,Petrol
 A5,2014,12998,Semi-Auto,80902,125,60.1,2,Diesel
 A4,2019,32485,Automatic,10,145,50.4,2,Diesel
 A1,2019,20485,Manual,10,145,48.7,1,Petrol
 Q3,2019,34485,Automatic,10,145,47.1,2,Diesel
 Q3,2016,18698,Manual,26474,145,52.3,2,Diesel
 Q5,2013,15998,Semi-Auto,65458,235,44.1,3,Diesel
 TT,2018,16498,Manual,34170,150,47.1,1.8,Petrol
 Q5,2019,31998,Semi-Auto,100,145,33.2,2,Petrol
 Q3,2019,35985,Automatic,650,145,47.1,2,Diesel
 Q5,2019,37985,Automatic,10,145,38.2,2,Diesel
 Q5,2019,31998,Semi-Auto,10,145,33.2,2,Petrol
 A4,2019,18998,Manual,2928,145,41.5,2,Petrol
 Q3,2018,19485,Manual,7157,145,51.4,1.4,Petrol
 Q3,2016,19995,Semi-Auto,31600,160,50.4,2,Diesel
 Q7,2016,47995,Semi-Auto,46600,300,39.2,4,Diesel
 A3,2019,23485,Manual,10,145,56.5,2,Diesel
 A5,2018,23998,Semi-Auto,14078,145,45.6,2,Petrol
 A5,2015,17998,Manual,13312,125,57.6,2,Diesel
 A6,2018,28985,Semi-Auto,10,145,50.4,2,Diesel
 RS6,2015,46000,Semi-Auto,20982,325,29.4,4,Petrol
 A6,2018,26995,Semi-Auto,15600,145,50.4,2,Diesel
 A6,2019,33985,Automatic,5429,145,47.9,2,Diesel
 Q2,2019,30985,Automatic,2710,145,40.9,1.5,Petrol
 Q7,2019,52985,Automatic,6423,145,33.2,3,Diesel
 A1,2017,12698,Manual,11017,150,67.3,1,Petrol
 Q3,2017,17298,Manual,16908,125,51.4,1.4,Petrol
 A4,2017,16498,Manual,28801,125,49.6,2,Petrol
 A4,2017,16798,Manual,23362,145,50.4,1.4,Petrol
 Q5,2013,15998,Manual,50025,235,37.7,2,Petrol
 Q8,2018,63985,Semi-Auto,8450,145,32.8,3,Diesel
 A6,2018,27985,Semi-Auto,1790,145,50.4,2,Diesel
 A4,2018,19485,Semi-Auto,10,145,53.3,1.4,Petrol
 A4,2018,20985,Manual,10,145,52.3,1.4,Petrol
 A3,2018,22285,Automatic,6754,145,52.3,1.6,Diesel
 Q3,2014,14500,Semi-Auto,35423,200,47.9,2,Diesel
 A3,2017,25000,Semi-Auto,16703,200,41.5,2,Petrol
 Q3,2017,15800,Manual,37203,125,51.4,1.4,Petrol
 A3,2013,13500,Semi-Auto,44405,125,58.9,2,Diesel
 Q3,2014,12000,Manual,79389,165,50.4,2,Diesel
 A3,2015,13800,Semi-Auto,61808,125,57.6,2,Diesel
 A1,2016,11000,Manual,10491,0,67.3,1,Petrol
 A3,2018,19995,Manual,19000,150,49.6,2,Petrol
 A1,2016,11650,Manual,18900,0,67.3,1,Petrol
 A3,2014,11850,Manual,50900,20,68.9,2,Diesel
 A6,2013,12495,Manual,49000,325,29.7,2,Diesel
 A1,2015,15995,Manual,23081,235,39.8,2,Petrol
 Q7,2020,82995,Semi-Auto,826,145,29.4,4,Diesel
 A4,2019,25990,Semi-Auto,5987,145,38.2,2,Petrol
 A6,2019,30995,Semi-Auto,2977,145,47.9,2,Diesel
 Q5,2019,34985,Automatic,7573,145,39.2,2,Diesel
 Q3,2019,31995,Manual,3055,145,42.8,2,Diesel
 A4,2019,29985,Automatic,22,145,38.7,2,Petrol
 A4,2019,28485,Automatic,2250,145,51.4,2,Diesel
 Q5,2016,21498,Semi-Auto,20547,200,47.1,2,Diesel
 Q5,2019,32895,Automatic,10,145,39.2,2,Diesel
 A5,2016,22998,Semi-Auto,18828,260,35.8,3,Petrol
 Q5,2019,35998,Semi-Auto,28,145,32.1,2,Petrol
 Q7,2016,29985,Automatic,38654,200,47.9,3,Diesel
 A3,2014,16485,Manual,25764,200,40.4,2,Petrol
 TT,2016,19485,Manual,28402,30,62.8,2,Diesel
 A1,2015,13495,Manual,17152,30,56.5,1.4,Petrol
 A3,2016,14995,Manual,29775,20,60.1,1.4,Petrol
 Q5,2017,39995,Semi-Auto,7801,145,34,3,Petrol
 Q5,2015,22990,Semi-Auto,60599,240,42.8,3,Diesel
 A1,2017,12495,Manual,20670,30,57.6,1.4,Petrol
 A3,2019,24985,Automatic,2257,145,52.3,1.6,Diesel
 A3,2019,24485,Manual,4039,145,51.4,1.6,Diesel
 A3,2016,16485,Manual,21241,125,52.3,1.4,Petrol
 Q3,2016,20485,Manual,16945,160,49.6,2,Diesel
 A4,2018,24985,Automatic,18010,145,49.6,1.4,Petrol
 A4,2017,19995,Semi-Auto,29653,145,62.8,2,Diesel
 A5,2014,16000,Semi-Auto,75159,260,34.9,3,Petrol
 Q3,2014,14998,Semi-Auto,33842,200,47.9,2,Diesel
 A3,2015,13995,Manual,42977,20,67.3,2,Diesel
 A4,2019,27990,Semi-Auto,26,145,47.9,2,Diesel
 A1,2016,11995,Manual,17454,0,67.3,1,Petrol
 A3,2018,15995,Manual,17547,150,56.5,1.5,Petrol
 A3,2020,35995,Semi-Auto,314,150,34.9,2,Petrol
 A1,2016,13585,Manual,25010,30,58.9,1.4,Petrol
 A6,2019,31985,Semi-Auto,3278,145,47.9,2,Diesel
 A7,2019,32985,Automatic,1285,145,39.2,3,Diesel
 A6,2019,30985,Automatic,4445,145,47.9,2,Diesel
 A4,2020,34798,Semi-Auto,6998,145,38.2,2,Petrol
 A4,2020,40780,Semi-Auto,6746,145,45.6,2,Diesel
 Q7,2015,34995,Semi-Auto,21245,205,47.9,3,Diesel
 A4,2017,18995,Manual,27394,30,64.2,2,Diesel
 A1,2016,12995,Manual,29283,0,67.3,1,Petrol
 A1,2016,14495,Manual,20905,30,56.5,1.4,Petrol
 A1,2017,12995,Manual,24386,0,67.3,1,Petrol
 TT,2017,24995,Semi-Auto,11621,150,42.8,2,Petrol
 A3,2019,20985,Semi-Auto,3409,145,43.5,1.5,Petrol
 Q5,2016,31995,Semi-Auto,30172,240,42.2,3,Diesel
 A4,2015,13995,Manual,27016,30,62.8,2,Diesel
 A4,2020,31985,Manual,7456,145,40.9,2,Petrol
 A6,2019,29490,Semi-Auto,20,145,55.4,3,Diesel
 A4,2019,20495,Semi-Auto,4781,150,40.9,2,Petrol
 Q3,2016,21995,Semi-Auto,40254,205,40.4,2,Petrol
 TT,2019,24995,Semi-Auto,12320,150,40.9,2,Petrol
 Q2,2018,23995,Manual,16534,150,49.6,1.4,Petrol
 Q3,2017,22995,Semi-Auto,20075,150,42.2,2,Petrol
 A3,2016,15995,Manual,14401,20,60.1,1,Petrol
 A3,2016,19995,Semi-Auto,19430,145,47.9,2,Petrol
 RS4,2013,26995,Semi-Auto,28359,565,26.4,4.2,Petrol
 Q8,2019,49995,Semi-Auto,16385,150,33.6,3,Diesel
 A1,2014,11995,Manual,24764,0,74.3,1.6,Diesel
 A1,2014,11995,Manual,26141,125,53.3,1.4,Petrol
 A5,2020,37331,Semi-Auto,7532,145,39.2,2,Petrol
 A5,2020,39454,Semi-Auto,7925,145,45.6,2,Diesel
 A5,2020,37507,Semi-Auto,7639,145,39.8,2,Petrol
 Q3,2020,33462,Semi-Auto,7914,145,48.7,2,Diesel
 Q5,2018,30995,Semi-Auto,15706,145,40.4,2,Petrol
 A4,2019,25990,Manual,4598,145,38.2,2,Petrol
 A8,2018,38995,Semi-Auto,6588,145,48.7,3,Diesel
 Q7,2016,31995,Semi-Auto,48248,205,47.9,3,Diesel
 A3,2019,30995,Semi-Auto,4549,150,34.5,2,Petrol
 A1,2019,18995,Manual,7564,145,51.4,1,Petrol
 A8,2018,41995,Semi-Auto,11276,145,48.7,3,Diesel
 A4,2016,19995,Manual,20141,30,67.3,2,Diesel
 A3,2016,16995,Manual,16555,20,60.1,1.4,Petrol
 A1,2017,14495,Manual,8608,145,67.3,1,Petrol
 Q3,2017,19995,Manual,18380,145,49.6,1.4,Petrol
 Q3,2017,23995,Semi-Auto,27136,145,40.4,2,Petrol
 A3,2016,13995,Manual,36409,20,60.1,1.4,Petrol
 A6,2017,27995,Semi-Auto,35219,150,50.4,3,Diesel
 Q5,2018,33995,Semi-Auto,10252,150,40.4,2,Petrol
 A3,2018,17490,Manual,16380,145,67.3,1.6,Diesel
 A3,2015,14990,Semi-Auto,30530,30,64.2,2,Diesel
 Q5,2016,30995,Semi-Auto,37129,235,42.2,3,Diesel
 A3,2017,13995,Manual,36400,20,61.4,1.4,Petrol
 Q7,2018,47995,Semi-Auto,8618,145,32.8,3,Diesel
 Q2,2018,21995,Manual,9634,145,50.4,1.4,Petrol
 Q2,2017,19995,Semi-Auto,18355,145,68.9,1.6,Diesel
 Q5,2017,26995,Semi-Auto,28604,145,40.9,2,Petrol
 A1,2017,15995,Manual,15187,145,76.3,1.6,Diesel
 A5,2015,18990,Semi-Auto,43417,160,50.4,2,Diesel
 A8,2018,35995,Semi-Auto,12195,145,50.4,3,Diesel
 A5,2018,27995,Semi-Auto,12686,145,58.9,3,Diesel
 A1,2019,23995,Semi-Auto,5356,145,44.1,1.5,Petrol
 A4,2020,31265,Semi-Auto,7963,145,41.5,2,Petrol
 A5,2020,36312,Semi-Auto,7423,145,51.4,2,Diesel
 A1,2017,13995,Manual,12148,145,67.3,1,Petrol
 Q5,2016,31995,Semi-Auto,44525,235,42.2,3,Diesel
 Q3,2016,18495,Manual,20952,145,55.4,2,Diesel
 A6,2019,33490,Semi-Auto,4582,145,39.2,3,Diesel
 Q5,2014,19995,Manual,36970,200,47.9,2,Diesel
 Q3,2015,17995,Manual,38244,145,49.6,1.4,Petrol
 Q7,2015,31995,Semi-Auto,26407,200,47.9,3,Diesel
 Q2,2019,23995,Manual,6484,145,49.6,1.6,Diesel
 A3,2019,20995,Manual,3325,145,49.6,1.6,Diesel
 Q3,2017,24995,Semi-Auto,9078,145,40.4,2,Petrol
 A1,2017,12995,Manual,22427,145,67.3,1,Petrol
 A4,2015,14995,Semi-Auto,41755,150,53.3,2,Diesel
 A3,2015,12490,Semi-Auto,35455,30,58.9,1.4,Petrol
 A3,2017,14298,Manual,14607,20,60.1,1,Petrol
 A1,2016,11498,Manual,24952,30,55.4,1.4,Petrol
 A5,2014,11998,Manual,49640,30,64.2,2,Diesel
 Q3,2017,19998,Manual,21576,145,49.6,1.4,Petrol
 Q5,2017,27995,Semi-Auto,20870,145,55.4,2,Diesel
 A4,2017,19995,Semi-Auto,30300,30,62.8,2,Diesel
 Q3,2016,19995,Manual,22353,160,49.6,2,Diesel
 Q3,2016,19995,Semi-Auto,23205,145,55.4,2,Diesel
 A1,2017,13995,Manual,15361,30,55.4,1.4,Petrol
